model,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,f1_mean,f1_std
model_3,0.7655218565914894,0.002516123986109472,0.7242311008910607,0.0051423457293409075,0.8124604722651722,0.001995639392914114,0.7303955154157583,0.0020449085447370643,0.7442465314230755,0.002533530022930926
model_3a,0.6590818220413248,0.0044027291239639894,0.6855148342059337,0.007172329001059175,0.7477327097672413,0.0027406229931815898,0.6794314381270904,0.004442860901089746,0.6719840270759844,0.005044282988986052
model_3b,0.8002601654065342,0.0028858653468890358,0.7155955441302485,0.0054184827378059245,0.8150140199020501,0.0025756784541555535,0.7319275613991565,0.004002127447230984,0.755543141533939,0.004104298460517972
