model,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,f1_mean,f1_std
model_3,0.7356807901361605,0.0024546794637242855,0.7674044265593561,0.0024004161651178992,0.803307471644097,0.0018775181432320116,0.7246029274369356,0.0019613875927985583,0.7511901932297771,0.0016073915214931396
model_3a,0.6608709361805645,0.0036865834120604042,0.6835951134380454,0.009212444865772537,0.7520366744262267,0.003843844057491093,0.6803511705685618,0.00418603326127391,0.6719414241509835,0.005541153944512144
model_3b,0.7792596569034813,0.0035937137613498023,0.7344473007712082,0.004330091514352228,0.8063520532983505,0.0027653561579214373,0.7257752418754652,0.003986720370298175,0.7561765905187021,0.003678750180839546
