model,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,f1_mean,f1_std
model_3,0.6773997739780379,0.0021888437190415735,0.7544696751940213,0.0029946114436651887,0.7328093799435612,0.002074387259460882,0.6723139208969168,0.002019854755063471,0.713839910268993,0.001698927972690374
model_3a,0.6170018552440435,0.001974687623022925,0.6706806282722513,0.008444860095591776,0.6983762350166256,0.004463115421001296,0.6428093645484949,0.0030106140279914386,0.6426527769467701,0.004763656443760245
model_3b,0.7315981657964062,0.0020353427429050815,0.6913453299057413,0.003498096637009461,0.7365320826762687,0.002565642907214379,0.6744232200446539,0.002359475616358152,0.7108869112322871,0.002402848320817641
